date,replication,slippage,nq_filter,placebo_qqq925,buy_hold
2016-01-04,24749.298999999995,24702.438999999995,24702.438999999995,24702.438999999995,25000.0
2016-01-05,25205.439999999995,25143.010999999995,24702.438999999995,24702.438999999995,24922.4311005658
2016-01-06,25860.403,25777.196999999996,25325.761,25325.761,24701.13159335645
2016-01-07,25664.025999999994,25522.982999999993,25325.761,25325.761,23927.72403723307
2016-01-08,25407.021999999994,25238.711999999992,25325.761,25325.761,23729.238912210258
2016-01-11,25260.854000000003,25035.73,25122.146000000008,25325.761,23809.089249863115
2016-01-12,25007.793000000005,24743.135,25122.146000000008,25325.761,24085.143274320133
2016-01-13,24865.4,24546.271999999994,25122.146000000008,25325.761,23247.855448074468
2016-01-14,24616.080000000005,24245.392999999996,24814.316000000013,25015.614,23740.646103303523
2016-01-15,24369.736000000004,23977.454999999998,24814.316000000013,25015.614,23006.022996897245
2016-01-19,25234.096000000005,24810.889,25677.011000000013,25885.372000000003,23053.933199488958
2016-01-20,24981.496000000003,24527.099,25383.120000000014,25885.372000000003,22990.052929366673
2016-01-21,24772.816999999995,24263.95799999999,25110.765000000007,25607.596999999994,23015.148749771855
2016-01-22,24772.816999999995,24263.95799999999,25110.765000000007,25607.596999999994,23672.20295674393
2016-01-25,24647.45,24084.799999999996,24925.49500000001,25418.698,23329.987223945976
2016-01-26,24400.204999999998,23796.903999999995,24925.49500000001,25418.698,23537.598101843403
2016-01-27,24247.094,23591.816,24710.68300000001,25199.687000000005,22946.705603212264
2016-01-28,25669.645000000055,24956.933000000052,26140.876000000066,26657.98100000006,23263.825515605036
2016-01-29,26875.8390000001,26109.995000000097,27348.17200000011,27888.85700000011,23754.33473261544
2016-02-01,26625.440000000093,25806.286000000087,27348.17200000011,27888.85700000011,23813.65212630042
2016-02-02,28471.214000000018,27574.612000000016,27348.17200000011,27888.85700000011,23307.172841759446
2016-02-03,30909.905000000006,29914.858000000004,29670.9860000001,30257.430000000095,23193.100930826793
2016-02-04,30600.152,29567.790999999997,29327.006000000092,29906.394000000088,23188.538054389486
2016-02-05,32332.155,31227.675999999996,30973.39600000009,31587.871000000086,22387.753239642272
2016-02-08,32007.611999999997,30839.236999999997,30973.39600000009,31587.871000000086,22043.256068625662
2016-02-09,33025.526999999995,31797.374999999996,31935.72900000009,32568.662000000088,21972.53148384742
2016-02-10,32694.620999999992,31433.257999999994,31935.72900000009,32568.662000000088,22063.78901259354
2016-02-11,32367.08299999999,31073.469999999994,31570.16900000009,32195.887000000086,22040.97463040701
2016-02-12,32042.326999999983,30697.548999999988,31188.281000000083,31806.27700000008,22362.657419237086
2016-02-16,31963.75899999998,30548.234999999986,31188.281000000083,31806.27700000008,22846.32232159153
2016-02-17,31760.254999999983,30281.26699999999,31188.281000000083,31806.27700000008,23380.178864756344
2016-02-18,32575.97899999998,31043.74699999999,31974.05900000008,32607.940000000075,23120.094907829895
2016-02-19,32249.28199999998,30676.20699999999,31595.571000000084,32221.632000000078,23190.81949260814
2016-02-22,33090.21499999998,31451.76199999999,31595.571000000084,32221.632000000078,23560.412484029934
2016-02-23,32921.48699999999,31217.977999999996,31360.64100000009,31982.118000000082,23179.412301514876
2016-02-24,32591.28999999999,30842.537999999997,31360.64100000009,31982.118000000082,23396.148932286913
2016-02-25,32437.982999999986,30625.518999999993,31360.64100000009,31982.118000000082,23622.011315933563
2016-02-26,32275.018999999993,30401.093999999997,31130.868000000097,31747.76100000009,23590.071180872423
2016-02-29,32061.43999999999,30129.437999999995,30852.744000000093,31747.76100000009,23393.86749406826
2016-03-01,31874.351000000002,29883.834000000006,30852.744000000093,31747.76100000009,24133.053476911846
2016-03-02,31764.605,29713.053000000004,30852.744000000093,31747.76100000009,24139.897791567804
2016-03-03,31655.222999999994,29543.178,30852.744000000093,31566.259000000086,24096.5504654134
2016-03-04,31338.170000000002,29207.962000000007,30852.744000000093,31566.259000000086,24107.957656506664
2016-03-07,31241.536999999986,29051.310999999994,30687.21000000008,31396.91800000007,23961.945610512867
2016-03-08,30988.336999999992,28748.875,30367.70100000009,31070.092000000077,23756.616170834095
2016-03-09,30773.49,28483.534000000007,30087.418000000096,30783.302000000087,23914.035407921154
2016-03-10,30465.260999999995,28153.225,30087.418000000096,30783.302000000087,23882.09527286001
2016-03-11,30233.70899999999,27875.259999999995,29790.400000000092,30783.302000000087,24292.75415221756
2016-03-14,30756.050999999985,28336.20999999999,29790.400000000092,31292.10300000008,24329.257163716007
2016-03-15,30546.633999999995,28079.303999999996,29520.2390000001,31292.10300000008,24324.6942872787
2016-03-16,31807.186999999987,29217.64899999999,30716.850000000093,31292.10300000008,24543.712356269392
2016-03-17,31510.002999999986,28879.59199999999,30716.850000000093,30929.78800000008,24523.179412301517
2016-03-18,31285.95999999999,28609.766999999993,30716.850000000093,30929.78800000008,24500.365030114986
2016-03-21,31063.444999999992,28342.200999999994,30716.850000000093,30640.636000000082,24589.341120642453
2016-03-22,31964.747999999992,29143.704999999994,30716.850000000093,30640.636000000082,24660.065705420697
2016-03-23,31880.612999999983,29002.224999999988,30567.641000000083,30491.820000000072,24461.580580397884
2016-03-24,31795.767999999993,28859.827999999994,30567.641000000083,30342.08700000008,24468.424895053842
2016-03-28,32043.223999999984,29063.002999999986,30782.912000000077,30555.657000000072,24438.766198211353
2016-03-29,32043.223999999984,29063.002999999986,30782.912000000077,30555.657000000072,24822.047818945062
2016-03-30,31983.502999999986,28945.12099999999,30658.03700000008,30555.657000000072,24952.089797408287
2016-03-31,31842.053999999982,28753.622999999985,30455.136000000075,30353.48000000007,24911.023909472533
2016-04-01,31735.31099999998,28593.71399999998,30455.136000000075,30353.48000000007,25175.670742836286
2016-04-04,31630.569999999974,28437.12699999998,30288.43200000007,30187.229000000065,25070.724584778243
2016-04-05,31490.20999999997,28248.524999999972,30288.43200000007,30187.229000000065,24844.862201131593
2016-04-06,33160.90699999997,29726.110999999975,30288.43200000007,30187.229000000065,25248.67676583318
2016-04-07,32967.06299999997,29487.65199999998,30288.43200000007,29945.013000000068,24874.520897974082
2016-04-08,32761.52099999997,29239.32699999998,30033.17700000007,29692.761000000068,24867.676583318123
2016-04-11,32432.828999999976,28887.71299999998,29671.81600000007,29335.73200000007,24778.700492790656
2016-04-12,32107.855999999974,28547.263999999977,29671.81600000007,29335.73200000007,24984.029932469428
2016-04-13,31955.24099999996,28349.57899999997,29466.30000000006,29132.50800000006,25305.712721299507
2016-04-14,31958.399999999965,28346.15799999997,29466.30000000006,29132.50800000006,25305.712721299507
2016-04-15,31807.356999999953,28150.76499999996,29466.30000000006,29132.50800000006,25241.832451177223
2016-04-18,32785.40499999995,28996.344999999954,29466.30000000006,30007.103000000054,25371.874429640447
2016-04-19,33284.994999999944,29422.18999999995,29899.02200000006,30447.760000000053,25216.73663077204
2016-04-20,33030.739999999954,29133.574999999957,29605.529000000064,30149.11800000006,25237.269574739916
2016-04-21,32898.205999999955,28953.51199999996,29605.529000000064,30149.11800000006,25237.269574739916
2016-04-22,32568.59099999995,28625.802999999953,29605.529000000064,30149.11800000006,24860.832268662165
2016-04-25,32280.11399999994,28309.150999999943,29605.529000000064,30149.11800000006,24860.832268662165
2016-04-26,32018.449999999943,28017.472999999944,29605.529000000064,29838.33200000006,24746.760357729512
2016-04-27,31697.635999999948,27688.672999999948,29605.529000000064,29838.33200000006,24545.993794488044
2016-04-28,31519.75799999994,27471.553999999942,29373.42900000006,29604.333000000053,24253.969702500457
2016-04-29,31257.87299999994,27181.280999999944,29373.42900000006,29604.333000000053,24119.36484759993
2016-05-02,30944.531999999945,26854.214999999946,29373.42900000006,29604.333000000053,24345.22723124658
2016-05-03,30675.18599999994,26559.72299999994,29051.292000000052,29279.86800000005,24121.64628581858
2016-05-04,30429.37099999995,26286.283999999945,29051.292000000052,28978.516000000058,23964.22704873152
2016-05-05,30278.065999999955,26095.85699999995,28840.810000000056,28768.416000000063,23961.945610512867
2016-05-06,30068.829999999947,25855.579999999944,28840.810000000056,28768.416000000063,24089.706150757436
2016-05-09,30135.853999999934,25893.68299999993,28840.810000000056,28768.416000000063,24149.023544442418
2016-05-10,30021.42099999994,25736.868999999937,28666.125000000062,28594.21400000007,24486.676400803066
2016-05-11,30021.42099999994,25736.868999999937,28666.125000000062,28594.21400000007,24267.658331812374
2016-05-12,30695.295999999806,26295.60399999982,28666.125000000062,28594.21400000007,24160.430735535683
2016-05-13,30474.11799999981,26046.611999999823,28666.125000000062,28594.21400000007,24071.454645008213
2016-05-16,31694.085999999814,27070.026999999824,28666.125000000062,28594.21400000007,24368.04161343311
2016-05-17,31432.200999999815,26785.654999999824,28364.893000000062,28293.82500000007,24064.610330352254
2016-05-18,31299.777999999817,26611.747999999825,28180.897000000063,28110.17100000007,24149.023544442418
2016-05-19,31108.831999999802,26388.979999999814,28180.897000000063,28110.17100000007,24025.82588063515
2016-05-20,31800.90699999979,26956.272999999805,28180.897000000063,28110.17100000007,24288.191275780253
2016-05-23,31525.554999999782,26662.3629999998,27873.601000000057,27803.74800000007,24251.688264281802
2016-05-24,33160.407999999785,28025.886999999802,29298.730000000058,27803.74800000007,24742.197481292205
2016-05-25,33098.28999999979,27911.667999999805,29298.730000000058,27690.41700000007,24924.71253878445
2016-05-26,32927.67999999979,27706.647999999805,29298.730000000058,27690.41700000007,24990.87424712539
2016-05-27,33406.4799999998,28089.43799999981,29298.730000000058,28072.828000000078,25123.197663807263
2016-05-31,33320.42799999981,27955.948999999815,29298.730000000058,27939.470000000085,25177.952181054938
2016-06-01,33234.5179999998,27822.852999999806,29298.730000000058,27939.470000000085,25173.38930461763
2016-06-02,33136.7509999998,27680.301999999807,29148.70600000006,27939.470000000085,25228.143821865306
2016-06-03,33411.7799999998,27889.92899999981,29148.70600000006,27939.470000000085,25109.509034495346
2016-06-06,33325.72799999979,27757.356999999804,29010.10800000005,27806.63600000008,25196.20368680416
2016-06-07,33276.28199999978,27655.952999999798,29010.10800000005,27806.63600000008,25139.167731337835
2016-06-08,33214.82699999979,27544.7309999998,28893.447000000055,27694.85900000008,25177.952181054938
2016-06-09,33092.81899999978,27383.408999999792,28724.236000000044,27532.732000000073,25136.886293119183
2016-06-10,32970.50799999978,27222.0869999998,28724.236000000044,27532.732000000073,24851.70651578755
2016-06-13,32714.142999999774,26950.27399999979,28724.236000000044,27257.938000000064,24646.37707610878
2016-06-14,32386.52599999977,26640.020999999786,28393.23800000004,26943.99700000006,24646.37707610878
2016-06-15,32169.868999999777,26402.635999999795,28393.23800000004,26943.99700000006,24575.652491330537
2016-06-16,32012.537999999782,26214.5009999998,28190.778000000046,26752.042000000067,24646.37707610878
2016-06-17,32670.296999999784,26738.009999999802,28190.778000000046,26752.042000000067,24301.87990509217
2016-06-20,32596.36499999978,26617.9779999998,28064.212000000043,26632.010000000064,24447.891951085963
2016-06-21,32388.941999999777,26389.056999999797,27822.817000000043,26632.010000000064,24516.335097645555
2016-06-22,32339.577999999787,26289.975999999806,27822.817000000043,26632.010000000064,24468.424895053842
2016-06-23,32074.81999999979,26016.281999999806,27822.817000000043,26354.663000000066,24812.922066070452
2016-06-24,31754.068999999792,25733.21999999981,27822.817000000043,26354.663000000066,23806.80781164446
2016-06-27,33152.760999999795,26846.62499999981,27822.817000000043,26354.663000000066,23336.831538601935
2016-06-28,34394.04999999979,27830.73799999981,28842.992000000042,27320.745000000064,23831.903632049645
2016-06-29,35435.94599999981,28652.58299999982,29694.439000000053,28127.010000000075,24249.40682606315
2016-06-30,35221.81599999981,28415.007999999823,29448.245000000057,27893.85500000008,24548.2752327067
2016-07-01,35769.86799999981,28836.351999999824,29448.245000000057,27893.85500000008,24650.939952546087
2016-07-05,35848.3969999998,28878.19899999981,29448.245000000057,27893.85500000008,24509.490782989596
2016-07-06,35488.87699999981,28534.53699999982,29097.725000000064,27562.004000000084,24707.975908012413
2016-07-07,35265.37999999981,28291.755999999816,28850.093000000063,27562.004000000084,24780.981931009308
2016-07-08,34979.62699999981,28000.35899999982,28850.093000000063,27562.004000000084,25164.26355174302
2016-07-11,34990.97599999982,27989.259999999824,28850.093000000063,27562.004000000084,25307.99415951816
2016-07-12,34851.89299999982,27817.917999999823,28850.093000000063,27562.004000000084,25440.317576200036
2016-07-13,34502.32899999982,27479.304999999822,28498.863000000063,27562.004000000084,25376.43730607775
2016-07-14,34439.49699999983,27370.413999999826,28385.865000000067,27452.780000000086,25542.982296039423
2016-07-15,34439.49699999983,27370.413999999826,28385.865000000067,27452.780000000086,25504.19784632232
2016-07-18,34327.47599999983,27222.735999999823,28232.600000000064,27304.64900000008,25673.024274502648
2016-07-19,34118.51399999984,26998.896999999833,28232.600000000064,27304.64900000008,25579.48530753787
2016-07-20,33935.65299999985,26796.75899999984,28021.178000000073,27100.19000000009,25880.635152400075
2016-07-21,33814.85699999986,26644.77499999985,28021.178000000073,27100.19000000009,25821.317758715093
2016-07-22,33514.660999999855,26351.81299999985,27712.97700000007,27100.19000000009,25928.545354991787
2016-07-25,33430.88099999986,26230.375999999855,27712.97700000007,27100.19000000009,25933.108231429094
2016-07-26,33335.62499999986,26100.373999999858,27712.97700000007,27100.19000000009,25962.766928271583
2016-07-27,33183.271999999866,25926.56399999986,27528.471000000078,26919.695000000094,26138.437671107866
2016-07-28,33066.51599999987,25781.180999999866,27528.471000000078,26768.838000000098,26231.97663807264
2016-07-29,32939.19899999987,25628.306999999866,27528.471000000078,26610.1500000001,26291.29403175762
2016-08-01,32812.32599999987,25476.287999999866,27365.166000000077,26452.3170000001,26425.89888665815
2016-08-02,32777.17199999988,25396.20799999988,27365.166000000077,26452.3170000001,26227.413761635336
2016-08-03,32673.340999999877,25262.723999999875,27365.166000000077,26452.3170000001,26314.108413944152
2016-08-04,32570.237999999874,25130.447999999873,27365.166000000077,26452.3170000001,26389.395875159702
2016-08-05,33027.90899999987,25466.15499999987,27365.166000000077,26452.3170000001,26642.63551743019
2016-08-08,32970.22799999987,25369.362999999874,27365.166000000077,26452.3170000001,26612.976820587697
2016-08-09,33025.49999999987,25394.534999999873,27365.166000000077,26452.3170000001,26672.29421427268
2016-08-10,33385.65099999986,25654.066999999868,27645.03000000007,26722.613000000096,26606.13250593174
2016-08-11,33145.32199999985,25416.94199999986,27645.03000000007,26475.46100000009,26720.20441686439
2016-08-12,33382.11899999985,25581.182999999866,27645.03000000007,26475.46100000009,26738.455922613615
2016-08-15,33699.34199999984,25806.771999999855,27645.03000000007,26475.46100000009,26854.80927176492
2016-08-16,34031.11399999984,26043.22299999986,27898.428000000076,26475.46100000009,26704.23434933382
2016-08-17,33808.98099999985,25819.83299999986,27658.97400000008,26248.30600000009,26745.300237269574
2016-08-18,33611.98899999986,25616.552999999873,27441.14100000009,26041.792000000103,26761.270304800146
2016-08-19,33415.509999999864,25414.196999999873,27224.46300000009,26041.792000000103,26749.86311370688
2016-08-22,33220.05699999988,25213.457999999882,27224.46300000009,25836.202000000114,26768.114619456104
2016-08-23,33151.24899999987,25109.88199999988,27224.46300000009,25836.202000000114,26820.587698485124
2016-08-24,32992.34199999987,24938.22799999988,27224.46300000009,25836.202000000114,26638.072640992883
2016-08-25,32787.268999999884,24731.931999999884,27224.46300000009,25622.43500000012,26594.725314838473
2016-08-26,32561.74699999988,24511.12599999988,27224.46300000009,25393.53800000012,26635.791202774228
2016-08-29,33006.23299999979,24829.106999999814,27224.46300000009,25393.53800000012,26676.857090709986
2016-08-30,32675.328999999787,24532.30699999981,27224.46300000009,25393.53800000012,26594.725314838473
2016-08-31,32516.985999999786,24362.863999999812,27036.52800000009,25218.26600000012,26562.785179777333
2016-09-01,32281.931999999793,24136.578999999816,27036.52800000009,25218.26600000012,26633.509764555576
2016-09-02,32148.71099999979,23987.615999999813,27036.52800000009,25218.26600000012,26715.641540427085
2016-09-06,31950.153999999795,23790.23699999982,27036.52800000009,25218.26600000012,26886.749406826064
2016-09-07,31905.750999999804,23708.830999999824,26943.9110000001,25131.911000000127,26905.000912575288
2016-09-08,32176.164999999804,23893.633999999824,26943.9110000001,25131.911000000127,26745.300237269574
2016-09-09,32042.3389999998,23745.03299999982,26943.9110000001,25131.911000000127,26072.27596276693
2016-09-12,33195.4669999998,24591.253999999823,26943.9110000001,25131.911000000127,26533.126482934844
